Elevation,Aspect,Slope,pitagoras,Horizontal_Distance_To_Roadways,Wilderness_Area_Type,Soil_Type,Cover_Type
2864,118,18.0,214.18916872708573,4567.0,Wilderness_Area1,Soil_Type30,2
2827,160,28.0,148.93287078412206,3948.0,Wilderness_Area1,Soil_Type30,2
2529,326,5.0,33.1058907144937,1062.0,Wilderness_Area1,Soil_Type16,2
2808,99,7.0,393.6356183070836,3107.0,Wilderness_Area1,Soil_Type12,1
2840,153,26.0,140.42791745233566,4613.0,Wilderness_Area1,Soil_Type30,2
2795,79,10.0,539.6081911906082,2980.0,Wilderness_Area1,Soil_Type20,1
2746,143,16.0,70.51950084905593,2440.0,Wilderness_Area1,Soil_Type12,2
2847,352,26.0,170.95028517086482,3697.0,Wilderness_Area1,Soil_Type29,1
2840,14,14.0,233.23807579381202,3552.0,Wilderness_Area1,Soil_Type12,1
2537,42,7.0,210.68697159530296,1132.0,Wilderness_Area1,Soil_Type18,2
2860,358,17.0,200.57168294652163,3705.0,Wilderness_Area1,Soil_Type29,1
2818,332,26.0,34.48187929913333,4526.0,Wilderness_Area1,Soil_Type29,2
2801,18,7.0,562.9955594851526,3084.0,Wilderness_Area1,Soil_Type12,2
2791,63,10.0,420.7469548315234,2942.0,Wilderness_Area1,Soil_Type12,2
2745,306,11.0,71.16881339463234,2416.0,Wilderness_Area1,Soil_Type29,2
2514,102,6.0,272.04595200076034,1082.0,Wilderness_Area1,Soil_Type18,2
2788,13,16.0,31.04834939252005,4126.0,Wilderness_Area1,Soil_Type29,2
2562,354,12.0,67.60177512462228,1057.0,Wilderness_Area1,Soil_Type30,2
3073,173,12.0,108.04165863221463,4635.0999999999985,Wilderness_Area1,Soil_Type29,2
2978,71,10.0,434.3972836010833,4635.0999999999985,Wilderness_Area1,Soil_Type29,2
2860,31,10.0,310.85205484281425,3644.0,Wilderness_Area1,Soil_Type12,1
3067,164,11.0,85.28774824088158,4635.0999999999985,Wilderness_Area1,Soil_Type29,2
2804,72,5.0,546.4155927496945,3115.0,Wilderness_Area1,Soil_Type12,2
2562,59,3.0,0.0,1116.0,Wilderness_Area1,Soil_Type16,2
2567,34,9.0,190.67249408344142,1136.0,Wilderness_Area1,Soil_Type18,2
2998,45,8.0,351.3644831225831,4635.0999999999985,Wilderness_Area1,Soil_Type29,2
2684,84,12.0,150.0133327407934,1677.0,Wilderness_Area1,Soil_Type29,2
2676,42,11.0,150.08331019803634,1634.0,Wilderness_Area1,Soil_Type29,2
2863,102,15.0,202.8324431643025,4389.0,Wilderness_Area1,Soil_Type29,1
2574,170,5.0,171.5488268686207,1180.0,Wilderness_Area1,Soil_Type18,2
2511,211,6.0,164.75436261295178,1071.0,Wilderness_Area1,Soil_Type18,2
3067,32,4.0,30.066592756745816,4635.0999999999985,Wilderness_Area1,Soil_Type20,2
2909,57,16.0,135.95955280891445,4635.0999999999985,Wilderness_Area1,Soil_Type29,2
2863,348,14.0,321.5618136533006,3918.0,Wilderness_Area1,Soil_Type29,1
2567,333,1.0,0.0,1266.0,Wilderness_Area1,Soil_Type16,2
3182,105,11.0,409.332383277942,4635.0999999999985,Wilderness_Area1,Soil_Type29,1
2818,324,12.0,243.39268682522078,4156.0,Wilderness_Area1,Soil_Type16,1
2752,332,6.0,342.8410710518797,2372.0,Wilderness_Area1,Soil_Type12,2
2751,88,5.0,401.1234224026316,2322.0,Wilderness_Area1,Soil_Type12,2
2569,102,7.0,228.70942263055102,1266.0,Wilderness_Area1,Soil_Type18,2
3195,111,15.0,471.25046419075284,4635.0999999999985,Wilderness_Area1,Soil_Type29,1
2982,53,14.0,248.13101378102658,4635.0999999999985,Wilderness_Area1,Soil_Type29,2
2850,58,6.0,300.647634283059,4394.0,Wilderness_Area1,Soil_Type29,1
2586,76,4.0,192.35384061671346,1290.0,Wilderness_Area1,Soil_Type18,2
2837,17,13.0,333.0540496676178,4241.0,Wilderness_Area1,Soil_Type29,1
2723,99,6.0,302.914179265349,2109.0,Wilderness_Area1,Soil_Type12,2
3070,0,11.0,30.59411708155671,4635.0999999999985,Wilderness_Area1,Soil_Type29,2
3057,124,12.0,159.08802594790095,4635.0999999999985,Wilderness_Area1,Soil_Type29,2
2818,119,19.0,31.622776601683793,4635.0999999999985,Wilderness_Area1,Soil_Type29,2
2847,320,32.0,93.5200513259055,4635.0999999999985,Wilderness_Area1,Soil_Type29,2
2606,112,11.0,30.265491900843113,1584.0,Wilderness_Area1,Soil_Type16,2
2893,83,6.0,560.180328108726,4011.0,Wilderness_Area1,Soil_Type12,2
2716,1,10.0,235.55254190944322,2100.0,Wilderness_Area1,Soil_Type12,2
2644,125,20.0,71.5122367151245,1719.0,Wilderness_Area1,Soil_Type29,2
2613,37,5.0,218.65955272980872,1519.0,Wilderness_Area1,Soil_Type12,2
2929,356,12.0,0.0,4635.0999999999985,Wilderness_Area1,Soil_Type24,2
2767,307,12.0,31.04834939252005,2796.0,Wilderness_Area1,Soil_Type29,2
2991,49,13.0,85.0,4635.0999999999985,Wilderness_Area1,Soil_Type24,1
2939,56,18.0,97.082439194738,4635.0999999999985,Wilderness_Area1,Soil_Type24,2
2537,7,12.0,0.0,1583.0,Wilderness_Area1,Soil_Type16,2
3119,119,7.0,162.30834852218786,4635.0999999999985,Wilderness_Area1,Soil_Type29,2
2942,346,12.0,30.14962686336267,4635.0999999999985,Wilderness_Area1,Soil_Type24,1
2886,12,7.0,577.6988835024697,4295.0,Wilderness_Area1,Soil_Type29,1
2775,344,13.0,42.579337712087536,2854.0,Wilderness_Area1,Soil_Type29,2
2490,79,9.0,240.3518254559345,878.0,Wilderness_Area1,Soil_Type18,2
3106,228,18.0,642.3602552409761,4635.0999999999985,Wilderness_Area1,Soil_Type29,1
2831,284,24.0,64.25729530566937,4635.0999999999985,Wilderness_Area1,Soil_Type24,2
2837,112,8.0,272.47018185482244,3649.0,Wilderness_Area1,Soil_Type12,2
2890,299,23.0,196.57314160383152,4635.0999999999985,Wilderness_Area1,Soil_Type24,2
2824,135,5.0,218.08255317654368,3583.0,Wilderness_Area1,Soil_Type20,2
2728,135,3.0,244.10653411983876,2250.0,Wilderness_Area1,Soil_Type12,2
2962,88,16.0,191.38704240360684,4635.0999999999985,Wilderness_Area1,Soil_Type24,1
3142,220,11.0,429.5776996074168,4635.0999999999985,Wilderness_Area1,Soil_Type29,2
2847,2,6.0,175.28548142958104,3757.0,Wilderness_Area1,Soil_Type20,2
2536,34,5.0,242.52834885843757,1242.0,Wilderness_Area1,Soil_Type18,2
3168,95,6.0,30.0,4635.0999999999985,Wilderness_Area1,Soil_Type29,1
2926,289,24.0,232.16588896735024,4635.0999999999985,Wilderness_Area1,Soil_Type24,1
2893,21,6.0,297.18849237478895,4106.0,Wilderness_Area1,Soil_Type12,2
2687,20,11.0,154.98709623707387,1986.0,Wilderness_Area1,Soil_Type12,2
3109,211,17.0,427.55233597771394,4635.0999999999985,Wilderness_Area1,Soil_Type29,2
3119,200,20.0,60.0,4635.0999999999985,Wilderness_Area1,Soil_Type29,2
2916,349,10.0,489.3260671576776,4472.0,Wilderness_Area1,Soil_Type29,1
2795,18,3.0,218.66183937761065,3042.0,Wilderness_Area1,Soil_Type12,2
2555,58,14.0,285.63263118908526,1231.0,Wilderness_Area1,Soil_Type18,2
2499,42,13.0,497.0492933301485,953.0,Wilderness_Area1,Soil_Type18,2
3027,173,11.0,337.62257033557455,4635.0999999999985,Wilderness_Area1,Soil_Type29,1
3096,160,15.0,86.49277426467485,4635.0999999999985,Wilderness_Area1,Soil_Type29,1
2916,105,13.0,282.39157211220027,4635.0999999999985,Wilderness_Area1,Soil_Type29,2
2591,42,12.0,350.69074695520555,1398.0,Wilderness_Area1,Soil_Type29,2
3185,328,16.0,127.66362050325849,4635.0999999999985,Wilderness_Area1,Soil_Type29,1
3021,221,10.0,326.33878102364724,4635.0999999999985,Wilderness_Area1,Soil_Type29,1
3083,257,4.0,510.6123774449656,4635.0999999999985,Wilderness_Area1,Soil_Type29,2
2860,276,32.0,68.47627326307996,4635.0999999999985,Wilderness_Area1,Soil_Type24,2
3008,196,15.0,228.87551201471948,4635.0999999999985,Wilderness_Area1,Soil_Type23,2
3034,189,14.0,389.6305942813013,4635.0999999999985,Wilderness_Area1,Soil_Type29,1
2873,130,16.0,68.8839603971781,4030.0,Wilderness_Area1,Soil_Type30,2
3182,49,13.0,319.0767932645682,4635.0999999999985,Wilderness_Area1,Soil_Type29,1
2998,102,12.0,415.234873294621,4635.0999999999985,Wilderness_Area1,Soil_Type29,2
2658,357,20.0,304.8212591011329,1597.0,Wilderness_Area1,Soil_Type29,2
3175,15,7.0,377.385744298854,4635.0999999999985,Wilderness_Area1,Soil_Type29,1
2952,8,7.0,503.7549007205786,4635.0999999999985,Wilderness_Area1,Soil_Type20,1
2622,95,12.0,485.5687386972106,1329.0,Wilderness_Area1,Soil_Type29,2
2955,288,21.0,278.19597409020855,4635.0999999999985,Wilderness_Area1,Soil_Type24,2
2837,66,9.0,202.3116407921205,3655.0,Wilderness_Area1,Soil_Type20,2
3182,45,3.0,470.791886081313,4635.0999999999985,Wilderness_Area1,Soil_Type29,1
3077,129,3.0,619.4941484792249,4635.0999999999985,Wilderness_Area1,Soil_Type29,2
2755,320,4.0,30.01666203960727,2890.0,Wilderness_Area1,Soil_Type12,2
3047,28,11.0,600.1408168088553,4635.0999999999985,Wilderness_Area1,Soil_Type29,1
2880,86,12.0,30.14962686336267,4369.0,Wilderness_Area1,Soil_Type30,2
3221,292,3.0,426.82197694120674,4401.0,Wilderness_Area1,Soil_Type29,1
3182,115,10.0,553.0904085228743,4605.0,Wilderness_Area1,Soil_Type29,1
3064,29,24.0,156.8948692596415,4635.0999999999985,Wilderness_Area1,Soil_Type29,1
2827,332,15.0,42.95346318982906,3599.0,Wilderness_Area1,Soil_Type29,2
2518,107,5.0,362.10633797270106,553.0,Wilderness_Area1,Soil_Type18,2
3050,180,4.0,277.01624501101014,4635.0999999999985,Wilderness_Area1,Soil_Type29,1
3107,356,12.0,296.66479400158016,4635.0999999999985,Wilderness_Area1,Soil_Type29,1
2995,173,15.0,300.08165555395084,4635.0999999999985,Wilderness_Area1,Soil_Type30,2
2721,164,4.0,67.02984409947557,1747.0,Wilderness_Area1,Soil_Type12,2
3182,116,7.0,579.0863493469692,4425.0,Wilderness_Area1,Soil_Type29,1
2724,132,11.0,60.03332407921454,2720.0,Wilderness_Area1,Soil_Type12,2
2515,90,9.0,315.4203544478384,511.0,Wilderness_Area1,Soil_Type18,2
3017,46,22.0,218.28421839427605,4635.0999999999985,Wilderness_Area1,Soil_Type29,1
3077,256,4.0,642.3602552409761,4635.0999999999985,Wilderness_Area1,Soil_Type29,2
2929,338,8.0,193.96133635340834,4393.0,Wilderness_Area1,Soil_Type12,2
2735,127,12.0,67.26812023536856,2806.0,Wilderness_Area1,Soil_Type12,2
2893,319,20.0,156.0416611036937,4635.0999999999985,Wilderness_Area1,Soil_Type24,2
3231,45,4.0,642.3602552409761,4173.0,Wilderness_Area1,Soil_Type29,1
2560,89,10.0,220.6354459283458,731.0,Wilderness_Area1,Soil_Type29,2
3162,43,15.0,504.9673256756322,4635.0999999999985,Wilderness_Area1,Soil_Type29,1
2982,188,14.0,120.01666550941998,4635.0999999999985,Wilderness_Area1,Soil_Type29,1
2731,66,5.0,0.0,2826.0,Wilderness_Area1,Soil_Type20,2
3172,50,11.0,642.3602552409761,4287.0,Wilderness_Area1,Soil_Type20,1
2916,138,21.0,136.12494260788506,4635.0999999999985,Wilderness_Area1,Soil_Type29,2
2890,63,17.0,156.95222202950808,3670.0,Wilderness_Area1,Soil_Type30,2
2704,45,10.0,323.74835906920055,1323.0,Wilderness_Area1,Soil_Type12,2
3198,23,18.0,630.2507437520403,4545.0,Wilderness_Area1,Soil_Type29,1
2985,214,5.0,347.75422355450985,4635.0999999999985,Wilderness_Area1,Soil_Type29,2
3011,323,21.0,471.34912750529196,4635.0999999999985,Wilderness_Area1,Soil_Type24,2
3024,312,18.0,505.9693666616587,4635.0999999999985,Wilderness_Area1,Soil_Type24,2
2763,7,12.0,86.68333173107735,2850.0,Wilderness_Area1,Soil_Type24,2
3244,56,16.0,622.6556030423238,3865.0,Wilderness_Area1,Soil_Type40,1
2955,9,10.0,85.58621384311844,4635.0999999999985,Wilderness_Area1,Soil_Type16,1
3201,10,13.0,642.3602552409761,4136.0,Wilderness_Area1,Soil_Type23,1
2972,36,25.0,30.0,4635.0999999999985,Wilderness_Area1,Soil_Type29,1
2985,167,13.0,462.73102338183463,4635.0999999999985,Wilderness_Area1,Soil_Type29,2
2539,23,17.0,91.2414379544733,488.0,Wilderness_Area1,Soil_Type29,2
3001,260,8.0,642.3602552409761,4635.0999999999985,Wilderness_Area1,Soil_Type29,2
2952,51,10.0,150.8509197850646,4635.0999999999985,Wilderness_Area1,Soil_Type16,1
2962,211,13.0,258.6000773395089,4635.0999999999985,Wilderness_Area1,Soil_Type29,2
3004,0,12.0,491.40716315495445,4635.0999999999985,Wilderness_Area1,Soil_Type12,1
2727,45,4.0,125.76565508913791,2285.0,Wilderness_Area1,Soil_Type12,2
3004,167,17.0,618.3672048225068,4635.0999999999985,Wilderness_Area1,Soil_Type29,2
2886,22,8.0,286.6810073932349,3849.0,Wilderness_Area1,Soil_Type29,2
3024,344,8.0,609.1182151274086,4635.0999999999985,Wilderness_Area1,Soil_Type12,1
3034,187,14.0,366.23626254099963,4635.0999999999985,Wilderness_Area1,Soil_Type30,2
2903,279,13.0,191.7706964058899,4179.0,Wilderness_Area1,Soil_Type29,2
2926,245,4.0,30.805843601498726,4635.0999999999985,Wilderness_Area1,Soil_Type23,1
2942,200,16.0,181.46349495146399,4635.0999999999985,Wilderness_Area1,Soil_Type29,2
2991,54,13.0,499.24943665466463,4635.0999999999985,Wilderness_Area1,Soil_Type12,2
2742,116,9.0,151.46286673637206,2475.0,Wilderness_Area1,Soil_Type12,2
2606,356,18.0,71.8679344353238,911.0,Wilderness_Area1,Soil_Type29,2
3244,326,5.0,642.3602552409761,3730.0,Wilderness_Area1,Soil_Type23,1
3237,27,14.0,642.3602552409761,4002.0,Wilderness_Area1,Soil_Type23,1
2616,359,24.0,44.598206241955516,977.0,Wilderness_Area1,Soil_Type29,2
2913,16,11.0,460.6658224787248,3974.0,Wilderness_Area1,Soil_Type29,2
2813,48,7.0,204.0245083317198,3018.0,Wilderness_Area1,Soil_Type24,2
2530,149,1.0,323.0510795524448,234.0,Wilderness_Area1,Soil_Type29,2
3260,45,7.0,507.71054745789945,3558.0,Wilderness_Area1,Soil_Type40,1
3047,90,3.0,642.3602552409761,4635.0999999999985,Wilderness_Area1,Soil_Type12,2
2955,60,20.0,203.69094236121546,4635.0999999999985,Wilderness_Area1,Soil_Type29,1
2893,77,13.0,85.28774824088158,4635.0999999999985,Wilderness_Area1,Soil_Type29,2
2965,38,24.0,251.81342299408902,4635.0999999999985,Wilderness_Area1,Soil_Type29,1
3037,230,15.0,589.6617674565649,4635.0999999999985,Wilderness_Area1,Soil_Type29,2
3027,152,10.0,642.3602552409761,4635.0999999999985,Wilderness_Area1,Soil_Type12,2
2756,70,16.0,125.0,2501.0,Wilderness_Area1,Soil_Type12,2
2939,325,6.0,513.7548053303249,4078.0,Wilderness_Area1,Soil_Type20,2
3198,126,9.0,418.63229689072006,4200.0,Wilderness_Area1,Soil_Type19,1
3195,90,7.0,362.55206522649956,4243.0,Wilderness_Area1,Soil_Type23,1
2975,222,6.0,370.8382396679177,4635.0999999999985,Wilderness_Area1,Soil_Type29,2
2890,84,13.0,30.265491900843113,4635.0999999999985,Wilderness_Area1,Soil_Type30,2
3018,109,10.0,642.3602552409761,4635.0999999999985,Wilderness_Area1,Soil_Type29,2
3011,85,5.0,642.3602552409761,4635.0999999999985,Wilderness_Area1,Soil_Type12,2
3221,79,16.0,618.3235399044743,3968.0,Wilderness_Area1,Soil_Type23,1
3004,135,7.0,642.3602552409761,4635.0999999999985,Wilderness_Area1,Soil_Type29,2
2572,49,20.0,387.64029718283933,391.0,Wilderness_Area1,Soil_Type29,2
3260,128,11.0,642.3602552409761,3824.0,Wilderness_Area1,Soil_Type23,1
3168,25,4.0,30.0,4426.0,Wilderness_Area1,Soil_Type20,1
2878,349,12.0,67.0,3489.0,Wilderness_Area1,Soil_Type29,2
3198,9,8.0,301.8774585821207,4099.0,Wilderness_Area1,Soil_Type19,1
2975,260,8.0,396.531209364408,4635.0999999999985,Wilderness_Area1,Soil_Type29,2
3178,38,10.0,0.0,4286.0,Wilderness_Area1,Soil_Type29,1
2995,176,10.0,642.3602552409761,4635.0999999999985,Wilderness_Area1,Soil_Type29,2
2913,144,8.0,210.95023109728987,4635.0999999999985,Wilderness_Area1,Soil_Type30,2
2982,175,9.0,427.6821249479571,4635.0999999999985,Wilderness_Area1,Soil_Type12,1
2945,209,12.0,363.78565117387467,4635.0999999999985,Wilderness_Area1,Soil_Type29,2
2995,143,2.0,631.4190367735201,4635.0999999999985,Wilderness_Area1,Soil_Type29,1
2942,0,3.0,0.0,4635.0999999999985,Wilderness_Area1,Soil_Type20,2
2945,288,5.0,0.0,4635.0999999999985,Wilderness_Area1,Soil_Type20,2
2959,288,8.0,120.81390648431164,4635.0999999999985,Wilderness_Area1,Soil_Type12,2
2796,114,13.0,60.530983801686226,2599.0,Wilderness_Area1,Soil_Type12,2
2785,315,2.0,60.03332407921454,2486.0,Wilderness_Area1,Soil_Type23,2
2784,325,17.0,156.51836952894698,1798.0,Wilderness_Area1,Soil_Type30,2
2789,320,15.0,188.74321179846442,1771.0,Wilderness_Area1,Soil_Type30,2
2922,162,19.0,241.00622398602076,4635.0999999999985,Wilderness_Area1,Soil_Type30,2
3008,135,3.0,642.3602552409761,4635.0999999999985,Wilderness_Area1,Soil_Type29,2
2978,73,10.0,326.6955769519998,4635.0999999999985,Wilderness_Area1,Soil_Type29,2
2892,54,11.0,134.5362404707371,3178.0,Wilderness_Area1,Soil_Type12,2
2521,45,10.0,42.04759208325728,408.0,Wilderness_Area1,Soil_Type20,2
2985,72,7.0,497.16999104933916,4635.0999999999985,Wilderness_Area1,Soil_Type29,1
3057,39,19.0,642.3488148973266,4435.0,Wilderness_Area1,Soil_Type29,1
2829,78,9.0,60.530983801686226,2941.0,Wilderness_Area1,Soil_Type23,2
3201,331,5.0,0.0,4002.0,Wilderness_Area1,Soil_Type20,1
3136,329,13.0,642.3602552409761,4228.0,Wilderness_Area1,Soil_Type29,1
2548,355,14.0,60.40695324215582,551.0,Wilderness_Area1,Soil_Type20,2
2962,89,9.0,42.1070065428546,4635.0999999999985,Wilderness_Area1,Soil_Type12,2
2808,15,13.0,201.9925741209315,2431.0,Wilderness_Area1,Soil_Type12,2
2749,87,12.0,517.7885668880687,1499.0,Wilderness_Area1,Soil_Type12,2
3155,328,14.0,642.3602552409761,4184.0,Wilderness_Area1,Soil_Type29,1
2991,285,11.0,642.3602552409761,4635.0999999999985,Wilderness_Area1,Soil_Type20,2
2968,108,5.0,309.8983704377937,4113.0,Wilderness_Area1,Soil_Type12,2
2932,77,13.0,110.02272492535349,3911.0,Wilderness_Area1,Soil_Type30,2
2808,356,7.0,153.0294089382822,2592.0,Wilderness_Area1,Soil_Type23,2
2794,106,4.0,213.23461257497573,1888.0,Wilderness_Area1,Soil_Type12,1
3080,24,17.0,642.3602552409761,4377.0,Wilderness_Area1,Soil_Type29,1
2936,52,16.0,182.01373574541017,4635.0999999999985,Wilderness_Area1,Soil_Type23,1
2913,261,10.0,313.15970366571753,4635.0999999999985,Wilderness_Area1,Soil_Type29,2
2919,232,8.0,323.5583409526016,4635.0999999999985,Wilderness_Area1,Soil_Type29,2
2978,257,6.0,85.98837130682264,4635.0999999999985,Wilderness_Area1,Soil_Type12,2
2574,312,14.0,137.7679207943562,636.0,Wilderness_Area1,Soil_Type30,2
3142,59,21.0,642.3602552409761,4155.0,Wilderness_Area1,Soil_Type29,1
2804,15,10.0,217.14741536569116,1917.0,Wilderness_Area1,Soil_Type12,1
2595,9,14.0,46.09772228646444,799.0,Wilderness_Area1,Soil_Type30,2
2929,232,8.0,367.484693558793,4635.0999999999985,Wilderness_Area1,Soil_Type29,2
3001,246,9.0,642.3602552409761,4635.0999999999985,Wilderness_Area1,Soil_Type29,2
2813,94,7.0,375.2026119312071,1800.0,Wilderness_Area1,Soil_Type30,2
2988,342,6.0,193.75241933973368,4635.0999999999985,Wilderness_Area1,Soil_Type12,2
3175,59,18.0,612.0,4042.0,Wilderness_Area1,Soil_Type23,1
2861,0,6.0,134.3726162579266,2980.0,Wilderness_Area1,Soil_Type30,2
2804,61,7.0,362.1380952067871,1838.0,Wilderness_Area1,Soil_Type30,2
3001,78,10.0,336.2528810285497,4635.0999999999985,Wilderness_Area1,Soil_Type12,1
2914,141,9.0,277.58422145359776,3471.0,Wilderness_Area1,Soil_Type12,2
2668,41,17.0,291.0549776245031,1276.0,Wilderness_Area1,Soil_Type30,2
3185,129,12.0,481.10393887391945,3899.0,Wilderness_Area1,Soil_Type29,1
2913,216,9.0,268.7452325158532,4635.0999999999985,Wilderness_Area1,Soil_Type16,1
3168,72,5.0,418.04305998305966,3855.0,Wilderness_Area1,Soil_Type23,1
2955,30,9.0,30.14962686336267,4478.0,Wilderness_Area1,Soil_Type20,2
2932,100,7.0,30.59411708155671,4280.0,Wilderness_Area1,Soil_Type19,2
3234,0,11.0,642.3602552409761,3589.0,Wilderness_Area1,Soil_Type23,1
