corpus,Titulo,Puntaje
tanta centro lima lacomar ambos excelente servicio lacomar vista espectacular mar recomendadas empanadas diferentes rellenos probe diferentes todas buenas tambien recomiendo pastel choclo mas,Empanadas deliciosas,50
imperdible almorzar cenar quiere salir comer familia quiero medio costos buena cocina mejor trato excelentes bebidas,A menudo vamos,40
buena carta ambientes agradables atencion inmediata amantes buen comer lugar ideal recomiendo lomo saltado siempre punto acompanado agradable jugos,Excelente comida,50
local lindo comida diferente encantan opciones ademas ofrecen varios piqueos ricos postres deliciosos,Me encanta,40
ido unas cuantas veces verdad restaurante tan genial venden comida criolla si agradable platos hace mama mas rico casa opinion mas rico macarrones mas,Estuvo..bien,40
buena atencion lindo ambiente vista precios justos comimos pescado macho jalea mixta lomo saltado ceviche mixto solo podria objetar surtido mariscos lugar smerita visita,Recomendable 100 porciento,40
hicimos reserva sabado familia local san isidro comida siempre exquisita pisco sour macerados excelentes carta variada atencion personalizada colaborador sr jack atento encanto mas,EN FAMILIA,50
restaurante visite primera vez hace anos dejo visitar locales miraflores jockey plaza centro historico lima san miguel salaverry arequipa hoy san isidro garantia mas,TANTA ES TANTA,50
comida rica atencion gusta creo q pocos mozos ultima vez tardaron mas normal traer orden,Buenazo,40
tanta shopping parte encargada local asi tambien mozos atienden mesas jugos ricos super recomendables buena ambientacion,Mala atención,50
tipico tanta mas esmero atencion recomiendo ampliamente degustar comida tipica,Rico,50
mejores restaurantes comida tipica peru fresco sabroso ambiente super agradable puedes compartir conversar trato mejor,Restaurante recomendable,50
pedimos hamburgueson limeno cumplidor buena textura pan suprema generosa porcion choclo pudo sobresalir mas causa medida justa,Buena comida y Atención esmerada,40
carta tan variada querido suficiente agradar esposa dos hijos excelente trato mucha demora comida magnifica volvere espero pronto,Tengo que volver a ir,50
bueno carta variada porciones adecuadas precio bueno tambien recomiendo,Me gusta !,40
buen restaurante lomo saltado asado abuela comparacion ademas local acogedor,Buena comida,40
favoritos !! plato decepcionado favorito: pastel choclo !!,Me encanta !,50
siempre vengo tanta! atencion platos bebidas excelente! plato favorito saltado tanta comido locales tanta lima encantado! picaroness! hablarrr buenazoss! mas,Orgullo Peruano!,50
siempre buen lugar ir agradable ambiente comida peruana tipica buenos tragos si si buscas privacidad pues vayas casi siempre lleno buen sitio ir grupo amigos,Comida peruana en un buen ambiente,50
excelente rico delicioso ambiente limpio tranquilo adecuado preciso almorzar familia,tanta,50
tanta rico platos generosos pedimos pastel choclo buenisimo hijo pidio tallarin pesto apanado logro terminar bien servido postres tambien buenisimos jugos excelentes,Buenazo!,40
quiero aclarar local chacarilla estanque comida buena atencion pesima demoraron muchisimo traer comida trajeron mesas luego trajeron comida mas bebidas mas,BUENA COMIDA,30
comida rica restaurante ubicado buen lugar servicio bueno precio tambien restaurante rico recomiendo visitarlo!,Muy  bueno!,40
atencion buena platos ricos sirven mas gusto tallarines huacaina carne buena tambien ricos postres parecen caros,PENSE QUE ERA ALGO MEJOR,30
comida pedir boca llegamos recomendacion familiares quedamos gratamente encantados encanto ademas atencion ninas distrajeron monton pintando mientras atendian volvere,exquisito,40
ambiente sencillo atencion buena variedad sandwichs bien presentados sabrosos postres buenos especialmente chocolate jugos buenas combinaciones gustos cafe capuchino buenazo,Lonche en Tanta Salaverry,50
restaurante sirve comida tipicamente peruana buena calidad precios accesibles menu variado atencion buena localidad agradable recomiendo almuerzo relajado fin semana,Buena representación de la cadena de restaurantes Tanta,40
frecuente tanta surco gusta atencion carta grande platos estan altura restaurantes mas caros,me gusta,40
variedad platos gustos probado mejores restaurantes buen ambienta tomar cafe recomiendo empanadas tamal verde,Un buen internedio,30
restaurante mas cadena reconocido gaston ofrecen comida peruana buena calidad sabor atencion excelente precios altos si seguro ir ven aqui comeras bien espacio confortable,Vale la pena!,40
mas platos parecieron pequenos relacion precios personal atento ganas atender bien,Excelente atencion,30
comida duda espectacular cumpleanos acompanado familia salimos encantados sabor platillos aunque quizas precio alto vale platos lomo saltado ceviche mas,Buena comida criolla,40
domingo familiar decidimos ir ubicado larcomar recomiendo lleguen partir am restaurante totalmente abierto llegar pueden hacerlos esperar plato desayune salchicha huachana estilo mas,Desayuno sin igual,50
bueno siempre voy regularmente tanta recomiendo ir hora punta fines semana mas menos pm llena luego entras lista espera ultima vez mama pedi mas,Buena comida,40
comida regular rica bien preparada; justifique precio atencion demorada esmero cuidado detalles (chicha morada mal filtrada limonada servida vasos cerveza confusion pedidos platos llegados mesa mas,Regular regular,30
almorzar familia jugos buenos servicio rapido atento comida sabrosa llenadora dan ganas volver,Muy rico almuerzo,40
restaurante siempre bueno mantienen standard calidad precio siempre volveria tanta,Siempre bueno,40
encanto papa huancaina lomo saltado pescado apanado ambiente invita seguir comiendo solo cantidad platos presentan menu si sientes familia,Un sabor especial,50
espectacular delicioso sirvieron bastante rapido aunque pm local casi lleno buen servicio pedimos causa pollo llevar recomiendo,Suprema de pollo Maryland y Tiradito dos ajíes,50
nunca comi tanta variedad platos gustos colores restaurant tanta san isidro,Cevicheeeee,50
gusto buena carta mejor comida preciosa locacion impecable atencion realmente buen lugar,"muy buena comida, atención como en casa",50
ver fama ningun palto delicioso aunque senor acurio mejor embajador peru lugar dudas sitio ningun plato verdaderamente deliciosos amerita volver,Mucha fama poca gustosidad,20
pasar reunion amigas ameno pedimos varios piqueos agrado estremo pulpo olivo formas ensaladas bastante agradable,"ricos, piqueos",40
buena relacion calidad / precio embargo fines semana tener cuidado sistema espera mesas verdadero desastre menos local miraflores atentos si dan cuenta mas,SERVICIO DE ESPERA,30
brindan buena atencion saborear platos servimos delicia! agradable experiencia compartir familiares,Deliciosos platos...,50
sido fan tanta hace anos dos ultimas veces ido dado cuenta mismo mal servicio mozos apurados tomar orden mozos traen piqueos junto mas,Una gran desilusión,10
primera vez local miraflores pedi mucha expectativa empanada aji gallina gaston acababa lanzar mercado tremenda novedad agradan citricos acompane novedad refrescante jugo mix granadilla mas,Agradables Innovaciones!!,50
excelente comida excelente precio queda menos cuadra hotel sonesta olivar buen servicio,Deliciosa comida y excelente ubicación,50
encanta tanta mejores restaurantes lima come bien esperar eternidades precios razonables recomiendo dos platos parecer mejores: lomo saltado aji gallina !!!! recomiendo jockey plaza mas,Excelente relación calidad precio,40
buena comida buen servicio comida casera bien servida postres buenos servicio frio distante precios estan bien saldran decepcionados,Buena Comida,40
tanta larcomar si quieres comida tipica peru tata bien gusto servicio rapido vista mar mejor !!,Excelente comida,50
jockey toda experiencia resulto malisima llegamos medio dia pese casi habia gente platos demoraron : hora llegar!!! excusa mozo (y luego administradora) chef mas,Toma un millón de años almorzar aquí,10
cada visita hago peru agrado disfrutar mejor comida probado gastronomia propia pais familia anfitriona gusta vistar tanta recuerdo primera vez visitamos encantado mas,Muy buena comida...,40
restaurante comida peruana bastante abundante bien cocinada buen precio cierra tras comida permite comer horarios estipulados trato bueno consideramos recomendable diseno restaurante tal mas,Comida peruana,40
deliciosa toda comida servicio impecable felicito pastel choclo buenisimo recomiendo entradas deliciosas,mariella,50
cumple delicioso come tan rico platos exito postres igual delicia piqueo criollo super variado delicioso luego pedi lomo saltado papas fritas punto mas,se tiene que repetir,50
ocasiones restaurante increiblemente rico comidas postres recomiendo,delicioso,50
comida peruana buen precio calidad ambiente joven bien atendido platos abundantes bie hechos variados,Muy buena relación precio calidad,50
tanta lugar acogedor informal disfrutar rico almuerzo asidua comensal recomiendo pastel choclo definitivamente mejor lima toque preciso crocante suavidad buenas ensaladas especialmente oriental tambien croquetas mas,LOS MEJORES PLATOS DE TANTA,40
ser mundo comida buena resulta buena opcion comer comida peruana tipica experimentos experiencias mejor lomo saltado gusto piqueo buenos chicha morada mas,Buena comida...,40
restaurante buena calidad comida rica atencion primera precios altos vale pena,almorzando en familia,50
varias veces ultima visita lima vale pena ir lomo saltado causa pastel choclo delicioso realidad pierde cualquier eleccion haga recomendado reservas bueno mas,Riquísimo,40
variedad platos buena cocina excelente atencion buena relacion calidad precio buena ambientacion come aproximadamente u s $ persona vino ubicado barrio san isidro cerca hotel sonesta olivar sucursales,"comida excelente,sobre todo para tapear",50
ido varias veces tanta siempre salido satisfechos servicio valet parking considero importante sitio dificil estacionar bien entras restaurante reciben amablemente ayudan acomodarte mas,¡Qué buenos postres!,40
familiares local plaza san miguel excelente comida buena gentil atencion mozos seria importante mejorar tiempo entrega pedidos(lo sugeri encuesta solicitaron) detalles tener encuenta mas,Excelente comida y en promedio buen servicio.,40
tanta plaza san miguel centro comercial saben tanta locales centro lima miraflores mas pertenece gaston acurio considerado mejor chef peru alli toda familia asi mas,Comida local con un poco de creatividad,40
tanta centro historico lugar lindo comida sabrosa probar platos locales causa limena tequenos carne inmejorables buena atencion precios razonables vale pena visitar,Rica y cuidada comida típica,40
comida impresiono postres exelentes dulces empalagosos ricos recomiendo,que tales postres,50
conociamos santiago parecidos buenos variados sours postres increibles dentro mall bien masivo ruidoso,Ricos los postres,40
comida deliciosa sitio bonito san isidro atencion esperada profesional,OTRO DELICIOSO RESTAURANTE DE GASTÓN-.,50
hablando local jockey plaza lindo lugar cockteles sours buenisimos recomiendo aguaimanto sours asado abuela viene pure remontara cocina tradiciona nonas coman fideos mas,FETTUCCINIS A LA HUANCAINA.....CON LOMO,40
nunca salido decepcionado restaurante tanta anteriormente solia ir tanta av primavera surco aunque bueno tan especial nuevo tanta jockey plaza cosa: comida buena porciones generosas mas,"Muy bueno, como siempre.",50
tanta san isidro realmente puede comprobar mismo sabor restaurantes lima esencia original si desean almorzar fines semana encontraran mayores demoras dias habiles realmente colapsado si van temprano mas,Sabores peruano,50
esposo invito almorzar probar nuevas opciones pedi arroz tipo oriental bondiola bondiola empanizada gusto lado aji pollo gallina tenia desmenuzado grueso trozos grandes,Por mejorar,30
restaurante ubicado dentro centro comercial larcomar chef reconocido gaston menu dia dia comida tipica peruana carta variados platos escoger,Comida Tipica Peruana,40
visite almorzar domingo pinchos piqueo mediocres tortilla patata frio decepcionante peor calidad servicio tardaron mas diez minutos traer dos botellas agua local medio vacio mas,Decepcionante servicio,10
comida increible variada autentica dudas opcion accesible conocer comida gaston camareros hacen diferencia recomiendan orientan siempre sonrisa tambien almorzar reuniones trabajo informales luces bajas lindo ambiente,Riquisimo! Atención excelente!,50
pudimos desayunar bonito lugar vista pacifico! jugos naturales geniales! servicio personal genial!,Desayuno imperdible!,50
si bien cadena restoran mas masivo deja tener sello calidad esmero atencion comida,Un lugar con estilo,40
nunca habia comido wok tannnn rico!!!!!!! ademas atencion excelente veras recomiendo,"Muy, pero muy bueno",50
intenciones terminar dia rico pisco sour encuentro restaurant preparar rico cocktail cuenta rica gastronomia gran nivel atencion lugar hizo grato final mas,Fui por un pisco sour y termine comiendo rico,50
sabor sopa criolla totalmente diferente tanta s ademas demorarse bastante comida sabor insipido pan totalmente humedo si demorado sacar plato,Sopa insípida,10
cualquiera locales tanta caracteriza deliciosa comida favoritos aji gallina lomo saltado anticuchos servicio demorado si esperar mesa mejor reservar postres ricos pisco mas,Exquisita Gastronomía Peruana,50
trabajando cerca restaurante oportunidad visitarlo mediodia tarde noche cubrio creces esperado cada caso almuerzo ejecutivo seguir actividad luego piqueo trago after office cena elaborada mas,Muy buena comida. Atencion excelente,50
tequenos lasagnos cosas ricas ojo local san isidro! locales tequenos tan ricos,Buenísimo pero ojo el de San Isidro,40
lugar obligado miraflores buena comida vista espectacular malecon miraflores,"Excelente ubicación, una vista magnifica",50
tener amigos visita oportunidad visitar restaurantes franquicia capital si temor equivocarme creo lugares mas acogedores ingresamos recibimos calida bienvenida carta mas,Con la misma calidad ,40
platos buenos atencion amable demoran traer comida precio acorde calidad!,Bueno,30
primeros restaurantes peru mejor aji gallina comido buen restaurante cadena,Buen restaurante,30
pintoresco restaurante barrio san isidro ubicado polo gastronomico zona gran cantidad opciones cenar carta variada platos vienen bien servidos atencion amena dudas recomendable,Pintoresco y con buena cocina ,40
tanta lima linea restaurantes gaston acurio caracteriza tener comida peruana rapida precios bastante accesibles almorzamos senora pedimos compartir entrada causa limpena realmente sorprendio buena mas,Comida peruana rápida y bien servida,40
lugar light express tranquilo comida buena relacion precio calidad catedral maravilloso buena ubicacion seguro,Buen precio calidad,30
precios debieran tener cuidado comida mas relevante picante carne tenia carne picante limonada hierbabuena tenia limon pescado acaremelado bueno mundo tan cerca mas,Una decepción,20
totalmente recomendable cocina buena atencion tambien carta entrantes fondos postres variada aunque lugar pequeno puede terraza piso vista mar,Carta y cocina muy buenas ,50
turista gusto bastante hecho poder probar gastronomia peruana precios bastante razonables calidad lugar comida plus destacar abren media noche regresaria definitivamente,Apropiado para turistas,50
podras degustar tipica comida peruana precios accesibles lindo lugar recomiendo bebidas base aguaje,Rica comida tipica peruana,40
restaurantes ubica mero centro lima costado palacio gobierno sirve buena comida tipica peruana dentro platillos encuentran ceviches leche tigre carnes lomo salteado peru mas,COMIDA PERUANA,40
esposa hora almuerzo diciembre suerte tener tiempo espera pesar q habia gran cantidad comensales carta variada cerveza bien fria habia cerveza corona mas,ALMUERZO El 25 DE DIC,40
concepto moderno ambiente informal cocina casera peruana admiten reservas atencion orden llegada interesante carta jugos piqueos guisos sandwichs buenas cantidades incluso piqueo tamano plato principal eleccion mas,Concepto moderno de Gastón Acurio,30
francamente desastre anticucho sabor durisimo pudo sacar brochet (por suerte mayoria anticuchos lima excepcionales) tarta alcachofa unico sabroso lugar extremadamente ruidoso,Pensé que no se podía comer mal en Lima.,20
mejor comida criolla peruana buen balance precio calidad tallarines salteados maximo!,delicioso,50
restaurantes gaston acurio bastante buen nivel si bien mas famoso astrid gaston come bien general hace falta reservar lujoso comida automaticamente peruana mas,El mejor Lomo saltado,40
ser restaurante cadena fabuloso! rico platos calidad relacion precios sorprendio gratamente,Me sorprende!,40
hora almuerzo bien atendidos comida sabrosa platos fondo bien abundantes,Recomendable,50
recuerdo amigo espana super bueno anticuchos causa limena,Cena,40
comiendo probe delicioso ceviche aconsejaron delicioso raciones grandes bien elaboradas bebida probe deliciosa chicha morada postre deliciosos alfajores volvere,Restaurante de alta calidad y buen precio ,50
verdad llamo atencion malo mesas sucias luego pedir tragos mio vino vaso chorreado mesera mira limpia manos pone mesa mas,Ya no es el Tanta de antes,20
bueno mas espectacular platos correctos porciones normal atencion buena lugar bonito zona preciosa san isidro,Buena experiencia,40
rico comer lugar demoran vez espere horas comida exagerar restaurante lleno normal pidieron disculpas ahi vuelvo precios platos dolares ( mas,Rico pero...,30
lamentablemente aqui si viene famosos dicho: carrera caballo parada principio tanta san miguel lugar acogedor comida variada rica ahora parece cambiado personal bastante decepcionante mas,UNA DECEPCION,10
delicioso variedad platos peruanos hechos casa postres maravillosos totalmente recomendable,Tanta Cafeteria,50
ido varios tantas mejor sazon pesar tener gran concurrencia atencion bastante buena amable sinceramente recomiendo ido muchas ocasiones siempre salido contento,Excelente atención y sabor,50
tanta lmejor restaurante peru nunca pierde ningun plato perfectos amo,Mi rest Favorito,50
exquisito restaurante ubicado tranquila zona lima pasos hoteles carta justa bastante acertada mas atencion sobresale calidad excelente relacion precio/calidad si san isidro excelente opcion pd exquisito loma mas,Exquisito,50
toda hora rico limpio moderno variedad platos comida criolla exelente precio calidad,Pejores platos compuestos .tartas .y tortas .exelente ambiente .precio aco,40
resturante dan giro diferente comida nacional platos bien servidos mejor bebidas jugos ofrecen combinaciones realmente agradables,Sigue siendo lo que fue,40
buena fusion comida peruana nunca pierde muchas opciones favorito almuerzo amigos,Fantastico para una almuerzo en un dia cualquiera,40
disfrute comida sabor casero recomiendo ceviche asado abuela tragos tambien apetecible bastante paciencia si vas bebes,comida casera...deliciosa,40
mejores restaurantes primero ubicado puntazo centro comercial larcomar centros comerciales mas lindos si va lima larcomar centro comercial obligatorio visitarlo ademas mas,TANTA DE ATAQUE!!,50
buena comida excelente equilibrio costo beneficio servicio atencion primera cordial volvere,Volveré,50
tanta siempre buena opcion comida rica buen servicio precio mediano recomiendo!! tomar pisco sour,Agradable,30
comida rica menos caros comida gourmet veces demoran atender vale pena espera,Rico y no muy caro,40
cena excelente carta zumos genial!!el lomo saltado ceviche recomendar zona peatonal tranquila buena atencion personal banos cuidados,Excelente,50
restaurante acogedor variedad platos buena atencion pedi pasta huacaina punta pecho res plato esquisto jugos venden naturales,Muy bueno,50
restaurante renombrado chef gaston acurio tipo bistro basado platos clasicos recuerdan experiencias antano,Comida peruana de la buena,40
"ayer noche terraza tanta larcomar entro senor borracho sento mesa lado llamaba mozos gritando referia clientes alrededor ""gente mierda"" respondio mas",Borracho en Tanta,10
despues minutos espera reclamar perdido pedido volvieron repetir plato carne tenia residuos quemados aceite recalentado asqueroso plato casi soles disculpar demora midieron panecillos mas,"Tanta de Plaza San Miguel, media hora para que te atiendan y comida con residuos quemados",10
conociamos ocasion anterior vez teniamos hambre pedimos ensalada atun sopa angelita milhojas manzana cenar excelente raciones generosas,Excelente opción con buena relación calidad-precio.,50
bueno comida primera categoria excelente carta platos maravillosos sabores pisco mmmm comentarios,Delicioso,50
pudimos probar diversos platos tipicos recomendable atun entorno acogedor buena atencion precios medios servicio incluido precio viene desglosado cuenta dejamos propina aparte pais sabiamos mas,Comida peruana a precio razonable,40
comida peruana tecnica cocina internacional llega ser comida peru profundo abominacion autor tampoco alta cocina buen restaurante franquicia,BUena comida semi-fusión,40
exquisita comida elevada calidad postres maravillosos plato ceviche rico pisco sour primera calidad,Rico restaurante,50
lindo lugar almorzar familia amigos platos fondo ricos abundantes caso pedi entrada causakis buenas todas variedades suprema pollo rico todo! atencion meseros mas,Muy agradable!,40
comida rica variada atencion excelente veces demoran atender mucha gente,Ricooo,40
lindo lugar general buena atencion miraflores prefiero julio larcomar atencion comida variada rica,De mis lugares casuales favoritos,40
siempre comida deli aunque servicio lento gusto enanos disfrutamos mucho! recomendable!,Excelente,50
aqui pueden probar delicias gastronomia peruana servicio atento amable seccion postres imperdible,Recomendable,50
ido mas ocasiones dentro preferidos estan tequenos lomo saltado tallarines verde carta variada cambia hace buen tiempo haciendo restaurante aburrido cuento mas,bueno pero no sorprendente,30
bueno comida rica solo increible restaurante precios accesibles creo cuenta bien calidad buena variedad,Franquicia,30
carta variada calidad platos hacen lugar especial postres tema aparte quizas precios podrian revisarse,CARTA MUY VARIADA,40
recomendado jugo norteno! sandwiches ricos especial tanta club buena opcion tambien aji gallina,Buena sazon,50
habiamos visitado tanta dos lugares diferentes santiago primer dia lima habiamos salido hotel caminar dio antojo comer almuerzo debia ser lgo sencillo pues teniamos reserva astrid mas,El mejor Tanta,40
siempre sello gaston acurio marca diferencia ideal almuerzo rapido buenos jugos naturales toda comida peruana: sabroso,Rico almuerzo,40
acompanado esposa jugos buenos ves siempre pido (travieso) bueno mozo amable cambio trajo mejor comida buena,Bonita Cena,40
"despues ir varias veces conocer masomenos bien carta pues sabe esperar buena comida lugar agradable precio medio alto ultimas oportunidades mozos final servicio indican ""puede dejar propina aca"" mas",Regular!,30
atencion esmerada aji gallina vale restaurante lomo saltado bastante buena tb,Ají de gallina incomparable,40
caminando sector llegamos restaurant decoracion informal bien atendido ambiente relajado hecho gusto volvimos dia sgte llamo atencion repetian par clientes mas,Como en casa,40
visitamos locales larcomar san isidro dos recibimos buena atencion deleitamos exquisita carta comida peruana relacion calidad/precio comparado existe chile excelente,Excelente representates de la buena comida peruana.,50
fruta sandwichs fabulosos caro merece pena almorzar tiraditos ceviches pisco sour tb merece pena,Desayuno perfecto,40
gusto comida probe tamal verde anticuchos tomar limonada frozen recomiendo come bien platos bien servidos precio parecio justo tambien tome pisco sour delicioso trepador refiero q alcohol bueno,Un restaurante bueno,40
solia ir frecuentemente trabajo cerca si bien cierto tanta restaunate comer diagmos diario (por precio) bien vale pena darse gusto vez tanta encuentras mas,Recomendable,40
encanta ambiente calidad personas trabajan alli estan dedicados servicio trabajo tendrian mejorar tiempo demora pedido solo casos,rico,40
exquisito pisco sauer estupendo piqueo variado punto buena eficiente atencion ambiente calido elegante preciosa vista mar,"Tanta Larcomar, estupendo",40
excelente lugar cenar laatencion buena recomendaciones: lomo saltado tomar ice tea,Buena experiencia,40
si visitas larcomar excelente alternativa atencion buena rapida cosa importante dispone tiempo exquisitos lomo saltado pisco sour mientras almuerzas puedes disfrutar hermosa vista,Buena alternativa en Larcomar,50
lugares buenos precios sello gaston acuri ambiente agradable platos generosos,Lo mejor para probar lo típico peruano,40
mejores restaurantes vida mejor comida peruana si van pidan lomo salteado tequenos aji gallina!!,Excelente,50
pensamos ser gaston acurio seria version economica buena cocina comida casera mediocre comer paso ir especialmente si larco mar vistas espectaculares!,no es lo que esperaba,30
restaurante/cafe creo mas nombre real comida peruana novia parecio comida regular servicio regular precios altos calidad comida pagas caro satisface mas,no Cubrio mis expectativas,30
jockey plaza esposo norteamericano chef casi semana cocinando comida peruana ica ica queriamos diferente ama thai vietnamita comida amiga buscamos mas,un opinion extra,40
recomendado :) platos solidarios escoger platos carta parte costo va utiliza donaciones atencion normal demoran servir platos comida rica restaurante toda ocasion,Deli,40
acudido numerosas ocasiones local encuentra jockey plaza creo espectacular sabor platos oportunidades pedi asado abuela encontraba frio inaceptable obstante ultima ocasion mas,Normal...,30
"mucha buena comida! buen restaurant acogedor pocos metros hotel sonestas"" plato lomo salteado excelente atencion buena lugar agradable decoracion moderna vez sencillo carta variada mas",buena comida,50
excelente restaurante! pase dias lima verdad comi ahi novio encanto buenos precios excelente comida dejen probar lomo pobre asi torta choclo mas,Lo más rico de Lima!!!,50
mediodia despues recorrer centro historico lindo lugar buena relacion calidad precio rico hit entrada causas variadas excelente,Para volver,50
tanta san isidro abre temprano imaginamos ibamos encontrar buen desayuno embargo pesar comida ser buena parece mas almuerzo desayuno visita horarios debe mas,No es bueno para el desayuno,30
top peru excelente atencion platos buenisimos lindo lugar postres inolvidables relacion precio / calidad excelente,Imperdible,50
buena opcion quiere comer noche prefiere tomarse copa vino piqueos prueben montaditos ; preferidos berenjena salmon piquillo queso manchego jamon iberico tambien mas,Deliciosos montaditos !!!,40
excelente sitio ir pareja familia buena comida mejor ambiente recomendable,Muy buen sitio!,40
acabamos volver peru quisimos probar buena comida peruana aqui puedes encontrar pues carta aceptable variedad preparacion rica raciones generosas tiempo bueno lima apetece sentarse mesas mas,"Buen nivel, buena ubicación, servicio mejorable",40
vacaciones peru oportunidad comer veces puedo decir buen lugar comimos causa limena tequenos croquetas salchipapas arroces piscos excelente precio bastante razonable atencion camareros mas,Estupendo lugar,50
tampoco esperen hiper alta cocina lugar caracter informal quiere decir platos riquisimos opciones carta originales divertidas; repito siempre caracter informal servicio excelente jugos mas,No se dejen llevar por las malas opiniones...,50
excelentes jugos ensaladas ambiente lindo ademas ubicado parque olivar atencion camareros buena recomiendo jugo norteno,Comida natural y peruana,40
imagine encontrar lima restaurante tanta variedad platillos caseros delicioso minestron fettuccini huancaina deliciosos ravioles asado espectacular decir algarrobina deliciosa terminar buen almuerzo suspiro mas,Satisfechos,40
restaurante bien ubicado centro lima comida buena (en especial lomo) decir jugos verdadera delicia precios mas economicos estan bien tipo restaurante,Muy buen restaurante en el centro de Lima,40
satisfaccion cliente obsesion personal restaurant acostumbro ir ademas calidad variedad comidas brindan excelente servicio posibilidad comer paso puesto siempre muchas alternativas mas,Excelente calidad y servicio en un ambiente informal...,50
ceviche tiradito tacu tacu solo muestras delicias puedes probar recomiendo!,Muy rico,50
homenaje mejor comida peruana aquella prepara casa mucha pretension arquitectonica minimalista bien servido bien preparado bien rico servicio relievarlo jovenes atentos explican bien carta rapidos mas,Muy rico,40
sopa zapallo loche salada servicio atento bastante laxa atencion ganas,Mediocre,10
