Id,Domicilio,Transporte,TarjetasCredito,Edad,Sexo,Sueldo
44,LimaModerna2,AUTOMOVIL,4,78,M,5070
45,LimaModerna2,AUTOMOVIL,3,33,F,6785
46,LimaModerna2,CAMIONETA RURAL,3,39,M,8593
47,LimaModerna2,CAMIONETA RURAL,3,37,F,2491
48,LimaModerna2,CAMIONETA RURAL,6,46,M,37093
49,LimaModerna2,CAMIONETA RURAL,2,42,M,4286
50,LimaModerna2,CAMIONETA RURAL,2,42,M,4115
51,LimaEste,AUTOMOVIL,3,53,M,5083
52,LimaEste,AUTOMOVIL,5,40,M,4143
53,LimaEste,AUTOMOVIL,3,45,M,1939
54,LimaEste,AUTOMOVIL,4,51,M,13809
55,LimaCentro,AUTOMOVIL,1,50,M,1000
56,LimaCentro,AUTOMOVIL,2,55,M,13261
57,LimaCentro,AUTOMOVIL,4,36,M,22261
58,LimaCentro,AUTOMOVIL,4,47,F,2700
59,LimaCentro,AUTOMOVIL,3,41,M,8912
60,LimaCentro,AUTOMOVIL,4,57,M,7728
61,LimaModerna2,AUTOMOVIL,3,39,M,4893
62,LimaModerna2,AUTOMOVIL,3,34,F,6508
63,LimaModerna2,CAMIONETA RURAL,3,37,F,10266
64,LimaModerna2,CAMIONETA RURAL,3,50,M,9193
65,LimaModerna2,CAMIONETA RURAL,4,48,F,8343
66,LimaModerna2,CAMIONETA RURAL,1,41,M,6651
67,LimaNorte,AUTOMOVIL,4,34,F,13600
68,LimaNorte,AUTOMOVIL,2,65,M,7557
69,LimaCentro,CAMIONETA RURAL,3,42,M,7393
70,LimaCentro,CAMIONETA RURAL,5,58,M,8048
71,LimaCentro,CAMIONETA RURAL,7,61,M,14565
72,LimaCentro,CAMIONETA RURAL,3,32,M,4314
73,Callao,AUTOMOVIL,3,41,F,5654
74,Callao,AUTOMOVIL,4,42,M,2310
75,LimaModerna2,AUTOMOVIL,5,38,M,3000
76,LimaModerna2,AUTOMOVIL,3,29,M,4243
77,LimaModerna2,AUTOMOVIL,3,27,M,5183
78,LimaModerna2,AUTOMOVIL,3,32,F,3913
79,LimaModerna2,AUTOMOVIL,3,46,F,3641
80,LimaModerna2,AUTOMOVIL,4,41,F,12745
81,LimaModerna2,AUTOMOVIL,2,58,M,1000
82,LimaModerna1,AUTOMOVIL,3,38,M,3384
83,LimaModerna1,AUTOMOVIL,2,40,M,1253
84,LimaModerna1,AUTOMOVIL,3,37,M,2691
85,LimaNorte,AUTOMOVIL,2,44,M,4885
86,LimaModerna1,AUTOMOVIL,2,31,M,2500
87,LimaModerna1,AUTOMOVIL,1,65,M,13777
88,LimaModerna1,AUTOMOVIL,5,50,M,6143
89,LimaSur,AUTOMOVIL,2,62,M,857
90,LimaSur,AUTOMOVIL,2,45,M,1513
91,LimaSur,AUTOMOVIL,4,32,F,1486
92,LimaModerna1,AUTOMOVIL,6,53,F,850
93,LimaNorte,CAMIONETA RURAL,2,35,M,1141
94,LimaNorte,CAMIONETA RURAL,2,34,M,8290
95,LimaCentro,AUTOMOVIL,3,53,M,4623
96,LimaSur,STATION WAGON,4,43,F,2983
97,LimaModerna1,AUTOMOVIL,3,33,M,15000
98,LimaSur,AUTOMOVIL,4,50,M,3979
99,LimaModerna1,AUTOMOVIL,1,29,F,2864
100,LimaModerna1,AUTOMOVIL,2,35,M,850
101,LimaModerna1,AUTOMOVIL,1,28,F,4792
102,LimaModerna1,AUTOMOVIL,3,48,F,930
103,LimaCentro,CAMIONETA RURAL,5,48,M,4476
104,LimaCentro,CAMIONETA RURAL,4,68,M,930
105,LimaModerna1,AUTOMOVIL,2,78,F,1223
106,LimaSur,AUTOMOVIL,3,51,F,3384
107,LimaModerna1,AUTOMOVIL,4,44,M,10008
108,LimaModerna1,AUTOMOVIL,2,34,M,8710
109,LimaModerna1,AUTOMOVIL,4,44,M,10008
110,LimaModerna1,AUTOMOVIL,1,36,M,3779
111,LimaModerna1,AUTOMOVIL,3,40,M,17713
112,LimaNorte,AUTOMOVIL,2,31,F,5300
113,LimaNorte,AUTOMOVIL,2,39,M,4791
114,LimaNorte,AUTOMOVIL,4,36,M,7727
115,LimaModerna1,CAMIONETA RURAL,4,43,M,6493
116,LimaModerna1,CAMIONETA RURAL,4,51,M,943
117,LimaModerna1,CAMIONETA RURAL,5,50,M,1023
118,LimaModerna1,CAMIONETA RURAL,4,55,F,68751
119,LimaModerna1,CAMIONETA RURAL,4,55,M,9023
120,LimaModerna1,CAMIONETA RURAL,2,58,M,6776
121,LimaModerna1,CAMIONETA RURAL,5,51,M,2000
122,LimaModerna1,AUTOMOVIL,5,55,M,8091
123,LimaModerna1,AUTOMOVIL,3,30,M,3384
124,LimaModerna1,AUTOMOVIL,5,37,M,446255
125,Callao,CAMIONETA PICK UP,1,51,M,930
126,LimaCentro,AUTOMOVIL,1,31,M,10423
127,LimaCentro,AUTOMOVIL,2,40,M,14714
128,LimaModerna1,CAMIONETA RURAL,3,45,M,17128
129,LimaModerna1,CAMIONETA RURAL,2,53,M,2093
130,LimaModerna1,CAMIONETA RURAL,6,47,M,12093
131,LimaModerna1,CAMIONETA RURAL,2,40,M,3928
132,LimaModerna1,CAMIONETA RURAL,1,44,M,13205
133,LimaModerna1,CAMIONETA RURAL,1,43,F,23482
134,LimaModerna1,CAMIONETA RURAL,2,42,F,5352
135,LimaEste,AUTOMOVIL,2,53,M,28013
136,LimaModerna1,STATION WAGON,3,30,F,2200
137,LimaModerna1,STATION WAGON,3,65,M,1535
138,LimaModerna1,CAMIONETA RURAL,3,67,M,4792
139,LimaNorte,CAMIONETA RURAL,2,37,M,9488
140,LimaNorte,CAMIONETA RURAL,1,32,M,9508
141,LimaModerna2,AUTOMOVIL,4,30,F,2325
142,LimaModerna2,CAMIONETA RURAL,6,46,M,8256
143,LimaModerna2,CAMIONETA RURAL,1,47,F,799
144,LimaModerna2,CAMIONETA RURAL,5,55,M,1000
145,LimaEste,AUTOMOVIL,2,27,M,2500
146,LimaEste,AUTOMOVIL,3,35,F,12144
147,LimaEste,AUTOMOVIL,4,33,M,4919
148,LimaCentro,AUTOMOVIL,3,77,M,1744
149,LimaCentro,AUTOMOVIL,5,46,M,5381
150,LimaCentro,AUTOMOVIL,3,40,M,930
151,LimaCentro,AUTOMOVIL,2,50,F,2333
152,LimaCentro,AUTOMOVIL,1,39,M,4323
153,LimaCentro,AUTOMOVIL,3,33,F,4434
154,LimaModerna2,AUTOMOVIL,1,61,M,3093
155,LimaModerna2,AUTOMOVIL,3,58,M,20000
156,LimaModerna2,AUTOMOVIL,2,35,M,6685
157,LimaModerna2,AUTOMOVIL,5,47,M,3293
158,LimaModerna2,AUTOMOVIL,1,26,M,4305
159,LimaModerna2,CAMIONETA RURAL,4,41,F,1500
160,LimaModerna2,CAMIONETA RURAL,2,53,M,14129
161,LimaNorte,AUTOMOVIL,5,35,M,5900
162,LimaCentro,CAMIONETA RURAL,3,32,M,4314
163,LimaCentro,CAMIONETA RURAL,1,34,M,750
164,LimaCentro,CAMIONETA RURAL,3,34,M,8672
165,LimaCentro,CAMIONETA RURAL,2,39,M,7793
166,Callao,AUTOMOVIL,3,28,M,3354
167,Callao,AUTOMOVIL,2,36,M,5500
168,Callao,AUTOMOVIL,4,56,M,2000
169,Callao,AUTOMOVIL,1,29,F,8250
170,Callao,AUTOMOVIL,1,29,F,8250
171,Callao,AUTOMOVIL,2,32,M,1376
172,LimaModerna2,AUTOMOVIL,5,49,M,16957
173,LimaCentro,CAMIONETA PICK UP,3,48,M,5413
174,LimaCentro,CAMIONETA PICK UP,3,48,M,5413
175,LimaModerna1,AUTOMOVIL,2,31,F,5498
176,LimaModerna1,AUTOMOVIL,4,65,M,1799
177,Callao,CAMIONETA RURAL,6,36,M,980
178,LimaNorte,AUTOMOVIL,2,39,M,3481
179,LimaNorte,AUTOMOVIL,3,69,M,2379
180,LimaNorte,AUTOMOVIL,3,69,M,2379
181,LimaModerna1,AUTOMOVIL,3,37,M,1023
182,LimaNorte,AUTOMOVIL,2,35,M,16500
183,LimaNorte,AUTOMOVIL,1,31,M,5000
184,LimaModerna1,AUTOMOVIL,2,51,M,10742
185,LimaModerna1,AUTOMOVIL,3,48,M,2130
186,LimaEste,CAMIONETA RURAL,4,32,M,5493
187,LimaEste,CAMIONETA RURAL,3,44,M,1023
188,LimaEste,CAMIONETA RURAL,1,30,M,5093
189,LimaEste,CAMIONETA RURAL,2,31,M,3000
190,Callao,CAMIONETA RURAL,4,47,M,7330
191,LimaSur,STATION WAGON,2,41,M,8259
192,LimaNorte,STATION WAGON,3,60,M,5685
193,LimaModerna1,AUTOMOVIL,5,56,M,2514
194,LimaModerna1,AUTOMOVIL,3,54,M,9981
195,LimaModerna1,AUTOMOVIL,5,56,M,2005
196,LimaModerna1,AUTOMOVIL,5,56,M,2005
197,LimaModerna1,AUTOMOVIL,2,28,F,1800
198,LimaSur,AUTOMOVIL,1,33,M,8593
199,Callao,AUTOMOVIL,4,37,M,930
200,Callao,AUTOMOVIL,4,48,M,22185
201,LimaModerna1,AUTOMOVIL,3,36,F,2262
202,LimaModerna1,AUTOMOVIL,3,47,F,765
203,LimaModerna1,AUTOMOVIL,3,35,M,8190
204,LimaModerna1,AUTOMOVIL,1,30,F,3994
205,LimaModerna1,AUTOMOVIL,3,46,M,24493
206,LimaModerna1,AUTOMOVIL,4,41,M,2555
207,LimaSur,AUTOMOVIL,1,42,M,5393
208,LimaSur,AUTOMOVIL,2,47,M,3792
209,LimaSur,AUTOMOVIL,2,47,M,3792
210,LimaModerna1,AUTOMOVIL,3,47,F,43324
211,LimaNorte,AUTOMOVIL,3,27,M,4413
212,LimaNorte,AUTOMOVIL,4,29,M,4200
213,LimaModerna1,CAMIONETA RURAL,3,41,M,15493
214,LimaModerna1,AUTOMOVIL,1,51,F,3499
215,LimaModerna1,AUTOMOVIL,1,30,M,5600
216,LimaModerna1,CAMIONETA RURAL,4,55,M,15893
217,LimaModerna1,CAMIONETA RURAL,1,71,M,2937
218,LimaModerna1,CAMIONETA RURAL,2,47,M,1493
219,LimaSur,AUTOMOVIL,1,43,M,2900
220,LimaModerna1,AUTOMOVIL,2,47,M,6693
221,LimaModerna1,AUTOMOVIL,2,35,M,6998
222,LimaModerna1,AUTOMOVIL,2,45,M,3059
223,LimaModerna1,AUTOMOVIL,4,43,M,31189
224,LimaModerna1,AUTOMOVIL,2,41,M,46427
225,Callao,AUTOMOVIL,6,59,F,1200
226,Callao,AUTOMOVIL,1,38,M,4039
227,Callao,AUTOMOVIL,3,49,M,1500
228,LimaCentro,AUTOMOVIL,2,40,M,14714
229,LimaCentro,AUTOMOVIL,2,63,M,3081
230,LimaCentro,AUTOMOVIL,4,43,M,5407
231,LimaCentro,AUTOMOVIL,4,45,F,1505
232,LimaCentro,AUTOMOVIL,2,46,M,3000
233,LimaModerna1,CAMIONETA RURAL,1,32,M,27050
234,LimaModerna1,CAMIONETA RURAL,4,58,F,1500
235,LimaModerna1,CAMIONETA RURAL,2,43,M,6593
236,LimaModerna1,CAMIONETA RURAL,2,56,M,17225
237,LimaModerna1,CAMIONETA RURAL,2,62,M,34301
238,LimaModerna1,CAMIONETA RURAL,4,46,M,14505
239,LimaCentro,CAMIONETA PICK UP,5,49,M,7076
240,LimaCentro,CAMIONETA PICK UP,2,32,M,3893
241,LimaEste,AUTOMOVIL,5,33,F,4000
242,LimaEste,AUTOMOVIL,3,35,M,2210
243,LimaEste,AUTOMOVIL,3,27,M,2851
244,LimaEste,AUTOMOVIL,1,44,M,9365
245,LimaModerna1,STATION WAGON,4,67,F,1640
246,LimaModerna1,CAMIONETA RURAL,3,60,M,1084
247,LimaModerna1,CAMIONETA RURAL,4,38,F,30293
248,LimaNorte,CAMIONETA RURAL,1,42,M,17138
249,LimaNorte,CAMIONETA RURAL,4,37,M,4443
250,LimaCentro,CAMIONETA RURAL,3,25,M,3000
251,LimaCentro,CAMIONETA RURAL,1,32,F,14618
252,LimaCentro,CAMIONETA RURAL,4,41,M,3705
253,LimaCentro,CAMIONETA RURAL,2,42,M,7500
254,LimaModerna2,AUTOMOVIL,5,42,F,4290
255,LimaModerna2,CAMIONETA RURAL,4,46,F,7093
256,LimaModerna2,CAMIONETA RURAL,3,62,M,7700
257,LimaModerna2,CAMIONETA RURAL,2,52,M,8791
258,LimaModerna2,CAMIONETA RURAL,4,38,M,11503
259,LimaEste,AUTOMOVIL,3,50,M,7877
260,LimaEste,AUTOMOVIL,2,53,M,4792
261,LimaEste,AUTOMOVIL,2,47,M,3384
262,LimaEste,AUTOMOVIL,1,38,M,4534
263,LimaCentro,AUTOMOVIL,3,42,M,930
264,LimaCentro,AUTOMOVIL,4,64,M,8994
265,LimaCentro,AUTOMOVIL,2,47,M,9093
266,LimaCentro,AUTOMOVIL,2,38,F,8643
267,LimaCentro,AUTOMOVIL,4,42,M,3384
268,LimaCentro,AUTOMOVIL,1,38,M,930
269,LimaCentro,AUTOMOVIL,4,41,F,4813
270,LimaCentro,AUTOMOVIL,2,57,M,1365
271,LimaModerna2,AUTOMOVIL,2,44,M,4593
272,LimaModerna2,CAMIONETA RURAL,3,40,M,9623
273,LimaModerna2,CAMIONETA RURAL,4,41,M,22288
274,LimaModerna2,CAMIONETA RURAL,4,27,M,5500
275,LimaModerna2,CAMIONETA RURAL,3,42,F,7000
276,LimaModerna2,CAMIONETA RURAL,1,38,F,1023
277,LimaModerna2,CAMIONETA RURAL,4,39,M,10706
278,LimaNorte,CAMIONETA PICK UP,6,44,M,1500
279,LimaNorte,AUTOMOVIL,3,38,M,4593
280,LimaNorte,AUTOMOVIL,3,42,M,7233
281,Callao,AUTOMOVIL,4,49,M,4669
282,LimaSur,AUTOMOVIL,3,57,M,144392
283,Callao,CAMIONETA PICK UP,2,51,M,2357
284,Callao,AUTOMOVIL,2,36,M,930
285,Callao,AUTOMOVIL,5,38,M,3231
286,LimaModerna2,AUTOMOVIL,5,38,M,3000
287,LimaModerna2,AUTOMOVIL,2,63,M,9917
288,LimaModerna2,AUTOMOVIL,2,41,F,4024
289,LimaModerna2,AUTOMOVIL,2,26,F,4748
290,LimaModerna2,AUTOMOVIL,2,30,M,946
291,LimaCentro,CAMIONETA PICK UP,3,52,F,1550
292,LimaModerna1,AUTOMOVIL,3,38,M,54263
293,LimaModerna1,AUTOMOVIL,4,69,F,9500
294,LimaModerna1,AUTOMOVIL,3,38,M,3384
295,LimaModerna1,AUTOMOVIL,2,54,M,13175
296,LimaModerna1,AUTOMOVIL,6,67,F,930
297,LimaNorte,AUTOMOVIL,1,43,M,1627
298,LimaNorte,AUTOMOVIL,2,39,M,6000
299,LimaNorte,AUTOMOVIL,3,29,F,4100
300,LimaModerna1,AUTOMOVIL,4,56,M,14841
301,LimaModerna1,AUTOMOVIL,5,64,M,6956
302,LimaNorte,AUTOMOVIL,3,43,M,4977
303,LimaModerna1,AUTOMOVIL,1,45,M,5593
304,LimaModerna1,CAMIONETA PICK UP,3,44,F,850
305,LimaEste,CAMIONETA RURAL,1,48,M,21515
306,LimaEste,CAMIONETA RURAL,3,38,M,5776
307,LimaEste,CAMIONETA RURAL,2,38,F,7663
308,LimaSur,STATION WAGON,2,51,M,2288
309,LimaModerna1,AUTOMOVIL,2,47,M,8980
310,LimaModerna1,AUTOMOVIL,1,58,M,1914
311,LimaModerna1,AUTOMOVIL,5,65,M,4207
312,LimaSur,AUTOMOVIL,2,47,M,5082
313,LimaEste,AUTOMOVIL,3,26,F,4000
314,Callao,CAMIONETA RURAL,3,41,M,8093
315,LimaModerna1,AUTOMOVIL,2,41,M,6238
316,LimaModerna1,AUTOMOVIL,5,34,M,8000
317,LimaModerna1,AUTOMOVIL,4,76,M,1015
318,LimaCentro,CAMIONETA RURAL,2,29,F,4111
319,LimaCentro,CAMIONETA RURAL,5,45,M,24000
320,LimaCentro,CAMIONETA RURAL,1,33,M,2025
321,LimaModerna1,AUTOMOVIL,6,24,F,2305
322,LimaModerna1,AUTOMOVIL,4,41,M,6093
323,LimaSur,AUTOMOVIL,3,48,M,930
324,LimaSur,AUTOMOVIL,1,39,M,1279
325,LimaSur,AUTOMOVIL,2,37,M,6000
326,LimaModerna1,AUTOMOVIL,2,26,F,4500
327,LimaModerna1,AUTOMOVIL,6,38,M,9593
328,LimaModerna1,AUTOMOVIL,1,40,M,10093
329,LimaEste,AUTOMOVIL,3,42,F,3593
330,LimaModerna1,AUTOMOVIL,2,42,M,2296
331,LimaModerna1,CAMIONETA RURAL,3,52,M,16593
332,LimaModerna1,CAMIONETA RURAL,5,38,F,2261
333,LimaSur,AUTOMOVIL,4,29,M,2309
334,LimaModerna1,AUTOMOVIL,2,61,M,8083
335,LimaModerna1,AUTOMOVIL,3,49,M,25196
336,LimaModerna1,AUTOMOVIL,3,44,M,17376
337,Callao,AUTOMOVIL,5,37,M,930
338,LimaCentro,AUTOMOVIL,4,47,M,850
339,LimaCentro,AUTOMOVIL,1,33,M,6098
340,LimaCentro,AUTOMOVIL,1,33,M,6098
341,LimaModerna1,CAMIONETA RURAL,2,42,M,30093
342,LimaModerna1,CAMIONETA RURAL,1,43,M,26400
343,LimaModerna1,CAMIONETA RURAL,2,60,M,8593
344,LimaCentro,CAMIONETA PICK UP,1,45,F,1482
345,LimaEste,AUTOMOVIL,4,43,M,7093
346,LimaNorte,CAMIONETA RURAL,4,43,M,11863
347,LimaNorte,CAMIONETA RURAL,2,45,F,8000
348,LimaCentro,CAMIONETA RURAL,4,33,M,909
349,LimaCentro,CAMIONETA RURAL,1,60,M,3062
350,LimaCentro,CAMIONETA RURAL,2,47,F,25093
351,LimaModerna2,AUTOMOVIL,1,61,F,2567
352,LimaModerna1,AUTOMOVIL,1,28,F,5800
353,LimaModerna1,AUTOMOVIL,5,45,F,9593
354,LimaEste,CAMIONETA RURAL,4,31,M,6271
355,LimaEste,CAMIONETA RURAL,1,33,F,7523
356,LimaModerna2,CAMIONETA RURAL,2,54,M,1093
357,LimaModerna2,CAMIONETA RURAL,4,47,M,9199
358,LimaModerna2,CAMIONETA RURAL,4,45,M,32410
359,LimaEste,AUTOMOVIL,3,34,F,3093
360,LimaEste,AUTOMOVIL,2,61,F,1011
361,LimaCentro,AUTOMOVIL,1,40,M,1420
362,LimaCentro,AUTOMOVIL,1,40,M,1420
363,LimaCentro,AUTOMOVIL,2,63,M,4238
364,LimaCentro,AUTOMOVIL,1,36,F,8600
365,LimaCentro,AUTOMOVIL,3,72,M,4748
366,LimaCentro,AUTOMOVIL,3,72,M,4748
367,LimaCentro,AUTOMOVIL,1,65,M,1000
368,LimaModerna2,AUTOMOVIL,5,41,M,1253
369,LimaModerna2,AUTOMOVIL,3,49,M,11225
370,LimaModerna2,AUTOMOVIL,3,26,F,7038
371,LimaModerna2,CAMIONETA RURAL,1,43,M,4093
372,LimaModerna2,CAMIONETA RURAL,4,38,M,13000
373,LimaModerna2,CAMIONETA RURAL,3,50,M,1293
374,LimaEste,AUTOMOVIL,3,45,M,1395
375,LimaEste,AUTOMOVIL,7,57,F,930
376,LimaEste,AUTOMOVIL,3,60,M,1293
377,LimaNorte,CAMIONETA PICK UP,2,39,M,2200
378,LimaNorte,AUTOMOVIL,2,38,M,4573
379,LimaNorte,AUTOMOVIL,2,36,M,6000
380,LimaCentro,CAMIONETA RURAL,4,49,M,4856
381,LimaCentro,CAMIONETA RURAL,1,51,M,1260
382,LimaCentro,CAMIONETA RURAL,2,61,M,32665
383,LimaSur,AUTOMOVIL,4,43,M,15000
384,LimaSur,AUTOMOVIL,3,55,M,1593
385,Callao,AUTOMOVIL,3,41,M,6093
386,Callao,AUTOMOVIL,1,38,M,10401
387,Callao,AUTOMOVIL,3,38,M,2543
388,Callao,AUTOMOVIL,2,55,M,4000
389,LimaModerna2,AUTOMOVIL,2,37,F,4000
390,LimaModerna2,AUTOMOVIL,2,61,F,930
391,LimaCentro,CAMIONETA PICK UP,4,44,F,1023
392,LimaModerna1,AUTOMOVIL,2,31,F,5498
393,LimaModerna1,AUTOMOVIL,1,31,M,15000
394,LimaModerna1,AUTOMOVIL,3,60,M,40259
395,LimaModerna1,AUTOMOVIL,4,34,M,1600
396,LimaModerna1,AUTOMOVIL,2,46,M,930
397,LimaModerna1,AUTOMOVIL,3,67,M,857
398,Callao,CAMIONETA RURAL,4,39,M,5049
399,Callao,CAMIONETA RURAL,3,49,M,4593
400,LimaNorte,AUTOMOVIL,3,41,M,5593
401,LimaNorte,AUTOMOVIL,4,40,M,40591
402,LimaModerna1,AUTOMOVIL,5,36,M,1000
403,LimaNorte,AUTOMOVIL,2,65,M,2103
404,LimaModerna1,CAMIONETA PICK UP,2,32,M,8000
405,LimaModerna1,CAMIONETA PICK UP,2,62,F,850
406,LimaModerna1,CAMIONETA PICK UP,4,77,M,1582
407,LimaModerna1,AUTOMOVIL,2,67,F,6400
408,LimaModerna1,AUTOMOVIL,2,58,M,5690
409,LimaEste,AUTOMOVIL,3,30,F,1500
410,LimaEste,AUTOMOVIL,3,49,M,8955
411,LimaEste,AUTOMOVIL,4,34,M,16800
412,LimaEste,AUTOMOVIL,7,43,M,2593
413,LimaEste,AUTOMOVIL,1,34,M,8400
414,LimaEste,AUTOMOVIL,3,48,M,10224
415,LimaEste,AUTOMOVIL,2,65,F,2755
416,LimaModerna1,AUTOMOVIL,4,48,M,2263
417,LimaModerna1,AUTOMOVIL,4,42,M,12335
418,LimaModerna1,AUTOMOVIL,4,45,F,2880
419,LimaModerna1,AUTOMOVIL,3,34,M,1050
420,LimaModerna1,AUTOMOVIL,5,43,M,9500
421,LimaCentro,CAMIONETA RURAL,3,33,F,1275
422,LimaModerna1,CAMIONETA RURAL,4,41,M,1469
423,LimaModerna1,CAMIONETA RURAL,3,29,M,6000
424,LimaModerna1,AUTOMOVIL,5,69,M,6241
425,LimaModerna1,AUTOMOVIL,2,73,M,976
426,LimaModerna1,AUTOMOVIL,1,30,M,8350
427,LimaModerna1,AUTOMOVIL,6,64,M,1200
428,LimaNorte,CAMIONETA RURAL,2,40,M,13686
429,LimaEste,AUTOMOVIL,2,40,M,2950
430,LimaModerna1,AUTOMOVIL,3,38,M,15093
431,LimaModerna1,CAMIONETA RURAL,3,39,M,22000
432,LimaModerna1,CAMIONETA RURAL,3,61,M,4867
433,LimaModerna1,CAMIONETA RURAL,2,45,M,8468
434,LimaSur,AUTOMOVIL,2,70,F,904
435,LimaModerna1,AUTOMOVIL,3,45,M,9210
436,LimaModerna1,AUTOMOVIL,2,46,F,7503
437,LimaModerna1,AUTOMOVIL,5,45,M,36057
438,LimaModerna1,AUTOMOVIL,2,40,M,64842
439,LimaModerna1,AUTOMOVIL,5,37,M,446255
440,Callao,AUTOMOVIL,2,38,M,3000
441,LimaCentro,AUTOMOVIL,2,68,M,857
442,LimaCentro,AUTOMOVIL,3,33,M,6500
443,LimaCentro,AUTOMOVIL,2,45,M,3842
444,LimaModerna1,CAMIONETA RURAL,3,45,M,3093
445,LimaModerna1,CAMIONETA RURAL,6,70,F,1838
446,LimaModerna1,CAMIONETA RURAL,2,34,F,930
447,LimaModerna1,CAMIONETA RURAL,4,58,M,17521
448,LimaEste,AUTOMOVIL,3,28,F,1300
449,LimaEste,AUTOMOVIL,5,49,F,3016
450,LimaEste,AUTOMOVIL,2,37,M,4093
451,LimaNorte,CAMIONETA RURAL,2,35,M,12383
452,LimaCentro,CAMIONETA RURAL,3,27,M,4325
453,LimaCentro,CAMIONETA RURAL,2,34,M,1244
454,LimaModerna1,AUTOMOVIL,2,24,F,1114
455,LimaModerna1,AUTOMOVIL,1,31,M,12181
456,LimaModerna1,AUTOMOVIL,3,30,F,4860
457,LimaModerna1,AUTOMOVIL,2,33,F,6986
458,LimaEste,CAMIONETA RURAL,3,55,F,5326
459,LimaModerna2,CAMIONETA RURAL,6,47,M,24357
460,LimaModerna2,CAMIONETA RURAL,3,35,F,3108
461,LimaModerna2,CAMIONETA RURAL,2,36,M,17093
462,LimaModerna2,CAMIONETA RURAL,3,48,M,28323
463,LimaModerna2,CAMIONETA RURAL,4,47,F,38593
464,LimaModerna2,CAMIONETA RURAL,4,45,F,2500
465,LimaModerna2,CAMIONETA RURAL,4,45,F,2500
466,LimaEste,AUTOMOVIL,3,35,M,1307
467,LimaEste,AUTOMOVIL,4,63,M,7824
468,LimaEste,AUTOMOVIL,1,60,M,6987
469,LimaEste,AUTOMOVIL,1,46,M,4866
470,LimaCentro,AUTOMOVIL,5,43,F,930
471,LimaCentro,AUTOMOVIL,3,44,M,1023
472,LimaCentro,AUTOMOVIL,3,36,M,3000
473,LimaCentro,AUTOMOVIL,2,35,M,5500
474,LimaCentro,AUTOMOVIL,7,43,F,4973
475,LimaCentro,AUTOMOVIL,4,47,M,6193
476,LimaCentro,AUTOMOVIL,4,43,M,2293
477,LimaModerna1,AUTOMOVIL,5,30,M,15038
478,LimaModerna2,AUTOMOVIL,6,39,M,4497
479,LimaModerna2,AUTOMOVIL,3,39,M,8000
480,LimaModerna2,AUTOMOVIL,1,36,F,28733
481,LimaModerna2,AUTOMOVIL,4,49,M,15600
482,LimaModerna2,AUTOMOVIL,4,49,M,15600
483,LimaModerna2,AUTOMOVIL,1,36,F,6992
